"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"HDFCBANK","21-SEP-2026","01-DEC-2026","XD","0.40","0.40","0.40","1.49","0.40","1.49","0.01","346","138.40","4"
"HDFCBANK","21-SEP-2026","24-SEP-2026","R3","0.10","0.10","0.10","10.00","0.10","0.10","0.10","5","0.50","1"
"HDFCBANK","21-SEP-2026","03-NOV-2026","XN","0.99","0.99","0.45","0.45","0.45","0.99","0.07","5","3.87","5"
"HDFCBANK","18-SEP-2026","01-DEC-2026","XD","1.49","1.49","1.49","0.39","1.49","1.49","0.01","62","92.38","1"
"HDFCBANK","18-SEP-2026","03-NOV-2026","XN","0.45","0.45","0.45","0.46","0.45","0.46","0.07","1","0.45","1"
"HDFCBANK","17-SEP-2026","06-OCT-2026","XO","0.17","0.19","0.17","0.19","0.18","0.25","0.01","50,000","8,799.58","21"
"HDFCBANK","17-SEP-2026","03-NOV-2026","XN","0.46","0.46","0.46","0.20","0.46","0.46","0.07","650","299.00","1"
"HDFCBANK","17-SEP-2026","06-OCT-2026","O1","0.24","0.25","0.24","0.25","0.25","0.25","0.24","3,250","812.41","2"
"HDFCBANK","16-SEP-2026","01-DEC-2026","XD","0.39","1.45","0.39","0.40","0.39","1.45","0.01","240","114.80","3"
"HDFCBANK","15-SEP-2026","03-NOV-2026","XN","0.20","0.20","0.20","0.20","0.20","0.40","0.07","9,000","1,800.00","4"
"HDFCBANK","15-SEP-2026","06-OCT-2026","XO","0.19","0.19","0.19","0.22","0.19","0.25","0.01","4,801","912.19","1"
"HDFCBANK","15-SEP-2026","01-DEC-2026","XD","0.50","0.50","0.40","0.50","0.40","0.50","0.01","325","132.80","5"
"HDFCBANK","11-SEP-2026","03-NOV-2026","XN","0.20","0.20","0.20","0.25","0.20","0.40","0.07","1,399","279.80","4"
"HDFCBANK","10-SEP-2026","03-NOV-2026","XN","0.25","0.25","0.25","0.35","0.25","0.40","0.07","9,000","2,250.00","2"
"HDFCBANK","10-SEP-2026","01-DEC-2026","XD","0.50","0.50","0.50","0.50","0.50","0.50","0.01","63","31.50","2"
"HDFCBANK","10-SEP-2026","06-OCT-2026","XO","0.22","0.22","0.22","0.24","0.22","0.25","0.01","1","0.22","1"
"HDFCBANK","10-SEP-2026","02-MAR-2027","X3","1.30","1.30","1.30","1.10","1.30","10.47","0.01","258","335.40","2"
