"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"MARUTI","22-SEP-2026","25-SEP-2026","EQ","12080.00","12210.00","12050.00","12068.00","12153.00","13680.00","9750.00","425,000","5,165,025,000.00","65,000"
"MARUTI","21-SEP-2026","25-SEP-2026","EQ","12243.54","12313.98","12068.10","12243.54","12079.46","13680.00","9750.00","374,927","4,528,915,699.42","73,612"
"MARUTI","18-SEP-2026","25-SEP-2026","EQ","12325.78","12371.53","12238.40","12325.78","12243.54","13680.00","9750.00","493,643","6,043,937,816.22","75,130"
"MARUTI","17-SEP-2026","25-SEP-2026","EQ","12468.13","12472.84","12300.26","12468.13","12325.78","13680.00","9750.00","343,906","4,238,909,696.68","53,809"
"MARUTI","16-SEP-2026","25-SEP-2026","EQ","12395.88","12501.68","12384.07","12395.88","12468.13","13680.00","9750.00","458,472","5,716,288,497.36","58,941"
"MARUTI","15-SEP-2026","25-SEP-2026","EQ","12356.87","12420.00","12296.11","12356.87","12395.88","13680.00","9750.00","286,633","3,553,068,272.04","80,131"
"MARUTI","11-SEP-2026","25-SEP-2026","EQ","12429.63","12562.05","12271.65","12429.63","12356.87","13680.00","9750.00","402,597","4,974,838,791.39","75,930"
"MARUTI","10-SEP-2026","25-SEP-2026","EQ","12498.84","12555.69","12395.70","12498.84","12429.63","13680.00","9750.00","428,887","5,330,906,721.81","66,946"
"MARUTI","09-SEP-2026","25-SEP-2026","EQ","12536.64","12578.43","12491.42","12536.64","12498.84","13680.00","9750.00","386,540","4,831,301,613.60","59,148"
"MARUTI","08-SEP-2026","25-SEP-2026","EQ","12471.74","12638.15","12454.39","12471.74","12536.64","13680.00","9750.00","433,847","5,438,983,654.08","70,593"
"MARUTI","07-SEP-2026","25-SEP-2026","EQ","12358.09","12554.40","12341.42","12358.09","12471.74","13680.00","9750.00","420,590","5,245,489,126.60","68,469"
"MARUTI","04-SEP-2026","25-SEP-2026","EQ","12155.86","12408.90","12055.83","12155.86","12358.09","13680.00","9750.00","485,484","5,999,654,965.56","72,113"
"MARUTI","03-SEP-2026","25-SEP-2026","EQ","12187.07","12255.72","12147.18","12187.07","12155.86","13680.00","9750.00","436,214","5,302,556,314.04","58,751"
"MARUTI","02-SEP-2026","25-SEP-2026","EQ","12146.37","12210.27","12052.44","12146.37","12187.07","13680.00","9750.00","357,869","4,361,374,553.83","60,549"
"MARUTI","01-SEP-2026","25-SEP-2026","EQ","12268.20","12287.07","12130.45","12268.20","12146.37","13680.00","9750.00","522,416","6,345,458,029.92","45,241"
"MARUTI","31-AUG-2026","25-SEP-2026","EQ","12249.44","12274.85","12220.23","12249.44","12268.20","13680.00","9750.00","414,711","5,087,757,490.20","78,437"
"MARUTI","28-AUG-2026","25-SEP-2026","EQ","12343.44","12351.94","12238.79","12343.44","12249.44","13680.00","9750.00","439,010","5,377,626,654.40","71,657"
"MARUTI","27-AUG-2026","25-SEP-2026","EQ","12307.31","12362.29","12299.15","12307.31","12343.44","13680.00","9750.00","475,963","5,875,020,732.72","81,450"
"MARUTI","26-AUG-2026","25-SEP-2026","EQ","12147.83","12329.40","12109.34","12147.83","12307.31","13680.00","9750.00","405,039","4,984,940,535.09","72,545"
"MARUTI","25-AUG-2026","25-SEP-2026","EQ","12247.62","12267.47","12079.66","12247.62","12147.83","13680.00","9750.00","432,447","5,253,292,640.01","68,365"
