"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"RELIANCE","21-SEP-2026","03-NOV-2026","XN","0.40","0.40","0.30","0.24","0.30","0.40","0.19","40,000","14,000.00","18"
"RELIANCE","21-SEP-2026","01-DEC-2026","XD","0.50","0.50","0.50","0.60","0.50","0.60","0.02","1","0.50","1"
"RELIANCE","21-SEP-2026","06-OCT-2026","O1","0.30","1.00","0.30","0.75","1.00","1.00","0.30","60,000","56,489.08","27"
"RELIANCE","18-SEP-2026","01-DEC-2026","XD","0.60","0.60","0.60","0.60","0.60","0.60","0.02","20","12.00","1"
"RELIANCE","18-SEP-2026","06-OCT-2026","O1","0.43","0.75","0.35","0.50","0.75","0.75","0.35","8,12,000","3,70,575.27","153"
"RELIANCE","17-SEP-2026","06-OCT-2026","O1","0.38","0.50","0.38","1.00","0.50","0.50","0.38","5,70,000","2,80,726.17","199"
"RELIANCE","17-SEP-2026","01-DEC-2026","XD","0.60","0.60","0.60","0.58","0.60","0.60","0.02","6,891","4,134.60","4"
"RELIANCE","16-SEP-2026","01-DEC-2026","XD","0.58","0.58","0.58","0.60","0.58","0.60","0.02","612","354.96","2"
"RELIANCE","15-SEP-2026","02-MAR-2027","X3","5.79","5.79","5.79","2.80","5.79","5.79","0.01","5","28.95","1"
"RELIANCE","15-SEP-2026","01-DEC-2026","XD","0.60","0.60","0.60","0.14","0.60","0.60","0.02","29,537","17,722.20","5"
"RELIANCE","15-SEP-2026","06-OCT-2026","XO","0.29","0.49","0.29","0.36","0.49","0.99","0.22","42,523","18,849.53","12"
"RELIANCE","11-SEP-2026","02-MAR-2027","X3","2.80","2.80","2.80","2.50","2.80","3.00","0.01","773","2,164.40","6"
"RELIANCE","10-SEP-2026","06-OCT-2026","XO","0.30","0.40","0.30","0.30","0.36","0.99","0.21","2,29,501","90,770.10","93"
"RELIANCE","10-SEP-2026","02-MAR-2027","X3","2.50","2.50","2.50","2.10","2.50","3.00","0.01","1,080","2,700.00","4"
"RELIANCE","09-SEP-2026","02-MAR-2027","X3","2.10","2.10","2.10","2.10","2.10","3.00","0.01","12","25.20","3"
"RELIANCE","08-SEP-2026","06-OCT-2026","XO","0.30","0.30","0.30","0.38","0.30","0.99","0.21","1,000","300.00","1"
"RELIANCE","08-SEP-2026","02-MAR-2027","X3","2.10","2.10","2.10","2.10","2.10","3.00","0.01","35","73.50","1"
"RELIANCE","07-SEP-2026","02-MAR-2027","X3","2.10","2.10","2.10","2.10","2.10","3.00","0.01","1,528","3,208.80","8"
"RELIANCE","04-SEP-2026","02-MAR-2027","X3","2.00","2.20","2.00","3.00","2.10","3.00","0.01","764","1,600.60","10"
"RELIANCE","03-SEP-2026","08-SEP-2026","R3","0.50","0.50","0.50","0.25","0.50","0.50","0.25","50","25.00","1"
"RELIANCE","03-SEP-2026","02-MAR-2027","X3","3.00","3.00","3.00","0.25","3.00","3.00","0.01","991","2,973.00","20"
"RELIANCE","02-SEP-2026","06-OCT-2026","XO","0.38","0.38","0.38","0.50","0.38","0.99","0.18","12,420","4,719.60","4"
"RELIANCE","02-SEP-2026","07-SEP-2026","R3","0.25","0.25","0.25","0.50","0.25","0.50","0.25","50","12.50","1"
"RELIANCE","01-SEP-2026","04-SEP-2026","R3","0.50","0.50","0.50","0.30","0.50","0.50","0.30","30","15.00","1"
"RELIANCE","01-SEP-2026","06-OCT-2026","XO","0.50","0.50","0.50","0.50","0.50","0.99","0.18","1,000","500.00","2"
"RELIANCE","31-AUG-2026","06-OCT-2026","XO","0.50","0.50","0.50","0.99","0.50","0.99","0.18","1","0.50","1"
"RELIANCE","27-AUG-2026","06-OCT-2026","XO","0.50","0.99","0.50","0.49","0.99","0.99","0.18","25,000","21,417.22","6"
"RELIANCE","26-AUG-2026","06-OCT-2026","XO","0.49","0.49","0.49","0.46","0.49","0.98","0.18","46","22.54","1"
"RELIANCE","25-AUG-2026","06-OCT-2026","XO","0.30","0.49","0.30","0.49","0.46","0.98","0.18","7,500","3,517.64","7"
"RELIANCE","24-AUG-2026","06-OCT-2026","XO","0.49","0.49","0.49","0.49","0.49","0.98","0.18","1,500","735.00","2"
"RELIANCE","24-AUG-2026","01-SEP-2026","X9","0.69","0.70","0.25","0.50","0.30","1.00","0.20","5,000","2,429.90","8"
"RELIANCE","22-AUG-2026","01-SEP-2026","09","10.00","10.00","10.00","0.50","10.00","10.00","0.50","1","10.00","1"
"RELIANCE","22-AUG-2026","28-AUG-2026","R3","10.00","10.00","10.00","0.30","10.00","10.00","0.30","1","10.00","1"
"RELIANCE","22-AUG-2026","05-JAN-2027","X1","10.00","10.00","10.00","0.29","10.00","10.00","0.03","1","10.00","1"
"RELIANCE","22-AUG-2026","03-AUG-2027","X8","2.00","2.00","2.00","0.40","2.00","2.00","0.21","45","90.00","3"
"RELIANCE","22-AUG-2026","01-SEP-2026","X9","150.00","150.00","150.00","0.50","150.00","150.00","0.20","7,000","10,50,000.00","7"
