"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"SBIN","22-SEP-2026","25-SEP-2026","EQ","992.00","1002.50","988.00","991.20","996.00","1080.00","740.00","16,400,000","16,334,400,000.00","240,000"
"SBIN","21-SEP-2026","25-SEP-2026","EQ","991.95","998.80","986.91","991.95","992.23","1080.00","740.00","16,488,265","16,360,151,180.95","207,377"
"SBIN","18-SEP-2026","25-SEP-2026","EQ","983.37","995.26","980.81","983.37","991.95","1080.00","740.00","12,920,207","12,816,199,333.65","212,834"
"SBIN","17-SEP-2026","25-SEP-2026","EQ","992.21","999.21","978.96","992.21","983.37","1080.00","740.00","12,452,981","12,245,887,925.97","308,545"
"SBIN","16-SEP-2026","25-SEP-2026","EQ","991.81","992.52","990.94","991.81","992.21","1080.00","740.00","17,928,050","17,788,390,490.50","216,007"
"SBIN","15-SEP-2026","25-SEP-2026","EQ","998.38","1002.42","986.93","998.38","991.81","1080.00","740.00","16,069,529","15,937,919,557.49","271,699"
"SBIN","11-SEP-2026","25-SEP-2026","EQ","996.34","1001.82","989.99","996.34","998.38","1080.00","740.00","14,528,829","14,505,292,297.02","275,226"
"SBIN","10-SEP-2026","25-SEP-2026","EQ","987.03","999.12","984.48","987.03","996.34","1080.00","740.00","15,768,746","15,711,032,389.64","219,070"
"SBIN","09-SEP-2026","25-SEP-2026","EQ","990.26","993.77","983.46","990.26","987.03","1080.00","740.00","18,759,273","18,515,965,229.19","186,496"
"SBIN","08-SEP-2026","25-SEP-2026","EQ","996.86","999.86","986.44","996.86","990.26","1080.00","740.00","15,811,824","15,657,816,834.24","252,075"
"SBIN","07-SEP-2026","25-SEP-2026","EQ","1006.30","1007.44","990.07","1006.30","996.86","1080.00","740.00","17,766,449","17,710,662,350.14","307,329"
"SBIN","04-SEP-2026","25-SEP-2026","EQ","1014.48","1016.91","999.15","1014.48","1006.30","1080.00","740.00","18,552,466","18,669,346,535.80","201,700"
"SBIN","03-SEP-2026","25-SEP-2026","EQ","1011.17","1015.74","1010.29","1011.17","1014.48","1080.00","740.00","12,814,417","12,999,969,758.16","245,350"
"SBIN","02-SEP-2026","25-SEP-2026","EQ","1024.60","1029.03","1006.72","1024.60","1011.17","1080.00","740.00","17,501,170","17,696,658,068.90","281,215"
"SBIN","01-SEP-2026","25-SEP-2026","EQ","1004.10","1026.73","996.71","1004.10","1024.60","1080.00","740.00","18,443,123","18,896,823,825.80","282,797"
"SBIN","31-AUG-2026","25-SEP-2026","EQ","1000.65","1006.97","997.97","1000.65","1004.10","1080.00","740.00","15,304,655","15,367,404,085.50","248,917"
"SBIN","28-AUG-2026","25-SEP-2026","EQ","993.11","1002.15","987.85","993.11","1000.65","1080.00","740.00","19,077,901","19,090,301,635.65","279,133"
"SBIN","27-AUG-2026","25-SEP-2026","EQ","985.53","994.28","980.53","985.53","993.11","1080.00","740.00","17,292,706","17,173,559,255.66","184,679"
"SBIN","26-AUG-2026","25-SEP-2026","EQ","978.21","988.34","977.49","978.21","985.53","1080.00","740.00","17,630,491","17,375,377,795.23","239,849"
"SBIN","25-AUG-2026","25-SEP-2026","EQ","981.92","983.77","976.24","981.92","978.21","1080.00","740.00","17,627,685","17,243,577,743.85","204,713"
