"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"TCS","22-SEP-2026","25-SEP-2026","EQ","2125.00","2135.00","2102.00","2128.80","2109.00","2450.00","1980.00","2,840,000","5,989,560,000.00","120,000"
"TCS","21-SEP-2026","25-SEP-2026","EQ","2125.65","2131.73","2123.19","2125.65","2128.27","2450.00","1980.00","2,867,715","6,103,271,803.05","114,942"
"TCS","18-SEP-2026","25-SEP-2026","EQ","2132.87","2153.38","2117.14","2132.87","2125.65","2450.00","1980.00","3,075,795","6,538,063,641.75","106,811"
"TCS","17-SEP-2026","25-SEP-2026","EQ","2150.77","2161.37","2130.84","2150.77","2132.87","2450.00","1980.00","3,247,168","6,925,787,212.16","114,719"
"TCS","16-SEP-2026","25-SEP-2026","EQ","2142.34","2173.26","2136.54","2142.34","2150.77","2450.00","1980.00","1,951,421","4,197,057,744.17","98,100"
"TCS","15-SEP-2026","25-SEP-2026","EQ","2106.37","2144.08","2083.38","2106.37","2142.34","2450.00","1980.00","2,644,336","5,665,066,786.24","143,667"
"TCS","11-SEP-2026","25-SEP-2026","EQ","2087.05","2108.09","2074.58","2087.05","2106.37","2450.00","1980.00","2,439,224","5,137,908,256.88","119,691"
"TCS","10-SEP-2026","25-SEP-2026","EQ","2092.74","2093.76","2084.01","2092.74","2087.05","2450.00","1980.00","3,764,927","7,857,590,895.35","116,909"
"TCS","09-SEP-2026","25-SEP-2026","EQ","2093.74","2097.03","2081.74","2093.74","2092.74","2450.00","1980.00","2,217,846","4,641,375,038.04","73,204"
"TCS","08-SEP-2026","25-SEP-2026","EQ","2116.12","2129.62","2090.50","2116.12","2093.74","2450.00","1980.00","2,645,818","5,539,654,979.32","121,116"
"TCS","07-SEP-2026","25-SEP-2026","EQ","2091.82","2116.53","2082.88","2091.82","2116.12","2450.00","1980.00","3,337,858","7,063,308,070.96","94,956"
"TCS","04-SEP-2026","25-SEP-2026","EQ","2129.03","2136.73","2087.27","2129.03","2091.82","2450.00","1980.00","3,004,783","6,285,465,175.06","137,053"
"TCS","03-SEP-2026","25-SEP-2026","EQ","2126.53","2136.13","2121.51","2126.53","2129.03","2450.00","1980.00","2,364,666","5,034,444,853.98","141,429"
"TCS","02-SEP-2026","25-SEP-2026","EQ","2110.36","2128.70","2105.99","2110.36","2126.53","2450.00","1980.00","2,546,759","5,415,759,416.27","125,725"
"TCS","01-SEP-2026","25-SEP-2026","EQ","2112.62","2123.16","2104.18","2112.62","2110.36","2450.00","1980.00","3,152,434","6,652,770,616.24","113,160"
"TCS","31-AUG-2026","25-SEP-2026","EQ","2123.29","2124.47","2109.29","2123.29","2112.62","2450.00","1980.00","3,270,632","6,909,602,575.84","121,369"
"TCS","28-AUG-2026","25-SEP-2026","EQ","2118.21","2130.91","2100.94","2118.21","2123.29","2450.00","1980.00","2,478,902","5,263,427,827.58","116,318"
"TCS","27-AUG-2026","25-SEP-2026","EQ","2092.85","2124.81","2084.78","2092.85","2118.21","2450.00","1980.00","2,712,235","5,745,083,299.35","107,320"
"TCS","26-AUG-2026","25-SEP-2026","EQ","2069.70","2111.89","2062.69","2069.70","2092.85","2450.00","1980.00","2,438,280","5,102,954,298.00","147,324"
"TCS","25-AUG-2026","25-SEP-2026","EQ","2053.42","2075.61","2051.16","2053.42","2069.70","2450.00","1980.00","3,772,573","7,808,094,338.10","119,634"
